,Unnamed: 0,smi,ID,mol,SA score,Mol wt,fitness value,prop
258655,3329652,CC1C(N)=CC(N)=CC=1N,MCULE-4952942290,<rdkit.Chem.rdchem.Mol object at 0x00000140C98342B0>,2.41375812407196,137.186,0.74162,0.74162
59070,675312,C1(O)=CC(=CC=C1OC)C=NO,MCULE-2306138785,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834260>,2.15852617679245,167.164,1.2089,1.2089
361102,4083862,C1(N=CC=C(C)N=1)N1CCC(OC)C1,MCULE-8190155261,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834210>,2.73934057968842,193.25,1.01012,1.01012
270588,3409236,C(=O)(CCS)NC1=CC=CC=C1,MCULE-7731276087,<rdkit.Chem.rdchem.Mol object at 0x00000140C98341C0>,1.65203522656621,181.26,1.945,1.945
24868,249979,N1C(=O)C(SC1=N)=CC(OC)=O,MCULE-2877021474,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834170>,3.39483915756168,186.192,-0.15893,-0.15893
74913,935880,N1C(=S)NC(=C(C)C1=O)C,MCULE-7620589455,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834120>,2.81030664478202,156.21,1.04933,1.04933
487032,4639341,CC1C(=O)NC2=C(C=NC=C2)NC1,MCULE-6146707711,<rdkit.Chem.rdchem.Mol object at 0x00000140C98340D0>,3.23220061718598,177.207,1.0817,1.0817
485488,4635567,COC1=C(O)C=C(OC)C(O)=C1,MCULE-5669259126,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834080>,1.85497809986938,170.164,1.115,1.115
270852,3409740,C1(C(O)=O)=CC2=C(C=CC=N2)N1,MCULE-7749752991,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834030>,2.1561207469282,162.148,1.2611,1.2611
110823,1218179,C[C@H](C1=CC=CC=C1)NCC(N)=O,MCULE-5025301335,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1F80>,2.12380051323588,178.235,0.8225,0.8225
429731,4300072,C1(C(OC)=O)C=C2N(CCNC2)N=1,MCULE-7146428955,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1F30>,2.70335575832483,181.195,-0.2271,-0.2271
553381,5412180,OCC[C@H](C1C=CSC=1)N,MCULE-4908965267,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1EE0>,2.97721144858388,157.238,1.1303,1.1303
269371,3404562,C1C=CC2NC=C(C3N=CN=CC=3)C=2C=1,MCULE-1989414058,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1E90>,2.04152081111161,195.225,2.6249,2.6249
408034,4245001,N(C)(CC(C)N)CC1=CC=CC=C1,MCULE-5974182743,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1E40>,2.2861774363128,178.279,1.4656,1.4656
576860,5593621,C1([C@H](CCCO)N)=C(O)C=C(C)C=C1,MCULE-3974604786,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1DF0>,2.68349175377749,195.262,1.47292,1.47292
425246,4290130,N12C=NC3C(=CC=CC=3)C1=NNC2=O,MCULE-1409211610,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1DA0>,2.31337852190227,186.174,0.5708,0.5708
275928,3455056,C1(N=CC=CN=1)N/C=C(\C#N)/C#N,MCULE-8323415890,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1D50>,2.96995035291943,171.163,0.81956,0.81956
257140,3324648,N1=C(C)OC2=CC3C=CC=CC=3C=C12,MCULE-8771875200,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1D00>,1.99926670201484,183.21,3.28942,3.28942
588048,5726316,O=C(C1=CC=C([C@H](C)N)C=C1)NCC,MCULE-2805761735,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1CB0>,2.09881240155077,192.262,1.456,1.456
443053,4365785,P(=O)(OC(=C)C)(OCC)OCC,MCULE-7428718537,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1C60>,3.1508323802664,194.167,2.7177,2.7177
540553,5298613,OCCCC#CC1C=CC=CC=1,MCULE-4012384803,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1C10>,2.03137760536388,160.216,1.8106,1.8106
